title,episodes,type
Anzen Kakunin: Kenta to Nyanta no Koutsuu Anzen,1.0,ova
Ao no Exorcist: Kuro no Iede,1.0,special
Ao no Exorcist: Kyoto Fujouou-hen,12.0,tv
Ao no Exorcist: Kyoto Fujouou-hen OVA,2.0,ova
Ao no Exorcist: Ura Ex,10.0,special
Ao no Orchestra: 5-bu de Tanoshii Classic,19.0,ona
Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,1.0,special
Aoi Kioku: Manmou Kaitaku to Shounen-tachi,1.0,movie
Aoki Hagane no Arpeggio: Ars Nova,12.0,tv
Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,13.0,special
Aoki Hagane no Arpeggio: Ars Nova Movie 1 - DC,1.0,movie
Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,1.0,movie
Aoki Uru: Overture,1.0,special
Apo Apo World: Giant Baba 90-bun 1-hon Shoubu,1.0,movie
Appleseed XIII Remix Movie 1: Yuigon,1.0,movie
Appleseed XIII Remix Movie 2: Yogen,1.0,movie
Aquarian Age: Saga II - Don't Forget Me...,1.0,ova
Aquarian Age: Sign for Evolution,13.0,tv
Aquarion Movie: Ippatsu Gyakuten-hen,1.0,movie
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,1.0,ova
Ar:pieL - 6-seosgae-ui Unmyeong,3.0,ona
Arabian Night: Sindbad no Bouken,1.0,movie
Arabian Nights: Sindbad no Bouken (TV),52.0,tv
Arad Senki: Slap Up Party,26.0,tv
Arad: Gyakuten no Wa,13.0,tv
Arad: Suming Zhi Men,20.0,ona
Araiya-san!: Ore to Aitsu ga Onnayu de!?,8.0,ona
"Arano no Sakebi Koe: Hoero, Buck",1.0,special
Arashi no Yoru ni: Himitsu no Tomodachi,26.0,tv
Arata naru Sekai: World's/Start/Load/End,1.0,ova
Arcana Famiglia: Capriccio - stile Arcana Famiglia,1.0,ova
Arei no Kagami: Way to the Virgin Space,1.0,movie
Argento Soma: Hitori to Hitori,1.0,special
Argonavis Movie: Axia,1.0,movie
Argonavis Movie: Ryuusei no Obligato,1.0,movie
Aria the Natural: Sono Futatabi Deaeru Kiseki ni...,1.0,special
Aria the OVA: Arietta,1.0,ova
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,1.0,special
Aries: Shinwa no Seizakyuu,1.0,ova
Arifureta Shokugyou de Sekai Saikyou: Arifureta Yorimichi de Sekai Saikyou,1.0,special
Arifureta Shokugyou de Sekai Saikyou: Maboroshi no Bouken to Kiseki no Kaigou,1.0,ova
Arifureta Shokugyou de Sekai Saikyou: Prologue,1.0,ona
Arigatou: Kokoro no Bara,1.0,music
Arknights: Fuyukomori Kaerimichi,,tv
Arknights: Reimei Zensou,8.0,tv
Armitage III: Dual-Matrix,1.0,movie
Armitage III: Poly-Matrix,1.0,movie
Armored Core: Fort Tower Song,1.0,ona
Arslan Senki (TV): Arsen 4-koma Gekijou,8.0,special
Arslan Senki (TV): Fuujin Ranbu,8.0,tv
Arslan Senki (TV): Fuujin Ranbu - Arsen 4-koma Gekijou,4.0,special
Arslan Senki (TV): Tsuioku no Shou - Dakkan no Yaiba,1.0,special
Aru Mori no wo Hanashi: Rururu no Rule,1.0,ova
Arve Rezzle: Kikaijikake no Yousei-tachi,1.0,movie
Asa ga Kuru mae ni: Sasurai Version,1.0,music
Asari-chan: Ai no Marchen Shoujo,1.0,movie
Asatir: Mirai no Mukashi Banashi,13.0,tv
Asgaldh: The Distortion Testament,3.0,ova
Ashita Genki ni Nare!: Hanbun no Satsumaimo,1.0,movie
Ashita no Kibou: Kanashimi yo Arigatou - Takae Tsuneo Monogatari,1.0,movie
Asience: Kami wa Onna no Inochi,1.0,special
Asobi Asobase: Cosplay Taikai/Otona no Watashi e,1.0,ova
Asobi ni Iku yo!: Asobi ni Oide,1.0,ova
Asobi ni Iku yo!: Asobi ni Oide - Owari,1.0,special
Assault Lily: Bouquet,12.0,tv
Assault Lily: Fruits,13.0,ona
Astro Boy: Tetsuwan Atom,50.0,tv
Astro Boy: Tetsuwan Atom - 10-man Kounen no Raihousha - IGZA,1.0,movie
Astro Boy: Tetsuwan Atom - Getsumen Kichi - Kieta Robot no Nazo,1.0,movie
Asu wo Tsukutta Otoko: Tanabe Sakurou to Biwako Sosui,1.0,movie
Asuka: Nihon no Rekishi,20.0,ova
Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu,24.0,tv
Atashin'chi 3D Movie: Jounetsu no Chou Chounouryoku Haha Dai Bousou,1.0,movie
Atelier Petros Joukuu Gekijou: Sentaku Shima no Sentaku Tori,1.0,ona
Atom: The Beginning,12.0,tv
Atri: My Dear Moments,,tv
Atsumare! Kakkoii Ichinensei Power!: Korasho Kyuushutsu Daisakusen,1.0,ova
Attack No.1: Namida no Fushichou,1.0,movie
Attack No.1: Namida no Kaiten Receive,1.0,movie
Attack No.1: Namida no Sekai Senshuken,1.0,movie
Auction: Bijo Dorei,1.0,ova
Aura Xing: Jinji Sheng Dian,1.0,movie
Aura: Maryuuin Kouga Saigo no Tatakai,1.0,movie
Avengers Confidential: Black Widow to Punisher,1.0,movie
Aware! Meisaku-kun: DVD Hatsubai Kettei!,,ona
Aware! Meisaku-kun: Human Academy Robot Kyoushitsu,2.0,ona
Aware! Meisaku-kun: Ito-Yokado no Randsell,1.0,ona
Aware! Meisaku-kun: Meiji Saite Oishii Mozzarella,1.0,special
Aware! Meisaku-kun: Oronamin C,1.0,special
Aware! Meisaku-kun: Q&A Corner,,ona
Aware! Meisaku-kun: Ryuuguuchuu-hen,14.0,ona
Aware! Meisaku-kun: Short Douga,,ona
Ayakashi: Japanese Classic Horror,11.0,tv
Azumanga Daiou: Gekijou Tanpen,1.0,special
Azur Lane: Bisoku Zenshin!,12.0,tv
Azur Lane: Bisoku Zenshin! Hokorashiki Bokou ni Shukusai wo,1.0,special
Azur Lane: Queen's Orders,2.0,ova
B-Project: Kodou*Ambitious,12.0,tv
B-Project: Netsuretsu*Love Call,,tv
B-Project: Zecchou*Emotion,12.0,tv
B: The Beginning,12.0,ona
B: The Beginning Succession,6.0,ona
BaBuKa: Gokudou no Tsuma,2.0,ova
Back Street Girls: Gokudolls,10.0,tv
Backkom: Jung-gug Gijeogwi,1.0,special
Bai Bian Ji Shou: Luo Luo Lixian Ji,52.0,tv
Bai Bian Xiao Ba: Chao Xue Xianfeng,26.0,tv
Bai Bian Xiao Ba: Chao Xue Xianfeng 2nd Season,26.0,tv
Bai Bian Xiao Jia: Xiao Jia Xiang Qian Chong,52.0,ona
Bai Li Xiong: Meili de Da Senlin,26.0,tv
Bai Li Xiong: Shenmi Hei Yi Ren,26.0,tv
Bai Li Xiong: Yunwu Shan De Mimi,26.0,tv
Bai She Chuan: Bai Suzhen,1.0,movie
Bai She II: Qing She Jie Qi,1.0,movie
Bai She: Yuan Qi,1.0,movie
Bai Shou Zong Dong Yuan: Konglong Yongshi Dang An,10.0,ona
Bai Yue Lixian Ji: Zhuang Jin Mima,13.0,tv
Baitou Ye Hou: Jia Hou Zhuang Zhuang,26.0,tv
Baixue Gongzhu: Airen Liliang,1.0,movie
Baixue Gongzhu: Shenmi Baba,1.0,movie
Baja no Studio: Baja no Mita Umi,1.0,ova
Baka Mukashibanashi Movie: Jijii Wars,1.0,movie
Baka Mukashibanashi: Sono Ni,4.0,ova
Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,1.0,special
Baka to Test to Shoukanjuu: Matsuri,2.0,ova
"Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru ""LIPS Eizou""",1.0,ona
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,6.0,special
Baka to Test to Shoukanjuu: Mondai - Christmas ni Tsuite Kotae Nasai,1.0,ona
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,6.0,special
Baki: Dai Raitaisai-hen,13.0,ona
Baki: Most Evil Death Row Convicts Special Anime,1.0,ova
Baku Ane 2: Otouto Ippai Shibocchau zo! The Animation,1.0,ova
Baku Ane: Otouto Shibocchau zo! The Animation,1.0,ova
Bakugan Battle Brawlers: Gundalian Invaders,39.0,tv
Bakugan Battle Brawlers: Mechtanium Surge,46.0,ona
Bakugan Battle Brawlers: New Vestroia,52.0,tv
Bakugan: Armored Alliance,52.0,tv
Bakugan: Battle Planet,50.0,tv
Bakugan: Battle Planet Short Anime,50.0,ona
Bakugan: Evolutions,26.0,ona
Bakugan: Geogan Rising,26.0,ona
Bakugan: Legends,13.0,ona
Bakuman.: Deraman.,2.0,special
Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!,1.0,ova
Bakuon Otoko: Bommerman,1.0,music
Bakuretsu Tenshi: Infinity,1.0,ova
Bakuretsu Tenshi: Infinity Special,1.0,special
Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi,1.0,movie
